Startup,Industry,SubVertical,City,Investors,InvestmentType,InvestmentAmount_USD,Date,Incubation Center,Name of the startup,Location of company,Sector,Company profile,Year,Allocation of Funds under SISFS (in Rs. crore),Funds Approved under SISFS (in Rs. crore),States/UT,2020,2021,2022,Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,City  Location,Investors Name,InvestmentnType,Amount in USD,Remarks
,,Fin-Tech,,,,,,,,,,,,,,,,,,378.0,16/02/2018,Fincash,Finance,Mumbai,"Mohammed Khan, Sameer Narayan & Others",Seed / Angel Funding,"1,50,000",
,,Online Lending,,,,,,,,,,,,,,,,,,379.0,19/02/2018,AyeFinance,Finance,Gurugram,"Hinduja Leyland Finance, IntelleGrow",Private Equity,"38,00,000",
,,Agri-tech,,,,,,,,,,,,,,,,,,380.0,20/02/2018,Agricxlab,Agriculture,Mumbai,Ankur Capital,Seed / Angel Funding,"5,00,000",
,,B2B Marketplace,,,,,,,,,,,,,,,,,,381.0,21/02/2018,Udaan,E-Commerce,Bengaluru,Lightspeed & Yuri Milner,Private Equity,"5,00,00,000",
,,SaaS,,,,,,,,,,,,,,,,,,382.0,21/02/2018,Capillary,IT,Bengaluru,"Wargburg Pincus, Sequoia",Private Equity,"2,00,00,000",
,,Analytics,,,,,,,,,,,,,,,,,,383.0,21/02/2018,The Healthy Billions,Healthcare,Gurugram,"Blume Ventures, HealthQuad and Fireside Ventures",Private Equity,"21,00,000",
,,Cloud-based Software,,,,,,,,,,,,,,,,,,384.0,21/02/2018,HighRadius,Technology,Hyderabad,"PNC, Citi Ventures",Private Equity,,
,,Education,,,,,,,,,,,,,,,,,,385.0,26/02/2018,Avishkaar Box,Ed-Tech,Delhi,Auxano Deals,Private Equity,"7,72,500",
,,Robotic InspectionStartup,,,,,,,,,,,,,,,,,,386.0,26/02/2018,Planys Technologies,Technology,Chennai,"Kris Gopalakrishnan, Pratithi Investment Trust, MEMG Family Office, S Gopal",Private Equity,"10,40,000",
,,Digital Design,,,,,,,,,,,,,,,,,,387.0,27/02/2018,Lollypop,Technology,Bengaluru,Dr Devi Shetty,Seed / Angel Funding,,
,,AI platform for hospitality industry,,,,,,,,,,,,,,,,,,388.0,27/02/2018,Trilyo,Technology,Mumbai,"Startup Buddy,Amit Manocha and others",Seed / Angel Funding,"2,50,000",
,,Online Music Streaming,,,,,,,,,,,,,,,,,,389.0,28/02/2018,Gaana,Technology,Gurugram,"Tencent Holdings Ltd, Times Internet",Private Equity,"11,50,00,000",
,,SaaS,,,,,,,,,,,,,,,,,,390.0,28/02/2018,Credy,IT,Bengaluru,"Y Combinator, Khosla Ventures, Vy Capital and others",Seed / Angel Funding,"14,00,000",
,,Cancer radiology,,,,,,,,,,,,,,,,,,391.0,28/02/2018,Predible Health,Healthcare,Bengaluru,Unitus Seed Fund,Seed/Angel Funding,,
,,Mobile App Analytics,,,,,,,,,,,,,,,,,,392.0,02/01/2018,CleverTap,Technology,Mumbai,"Recruit Holdings, Sequoia Capital India, Accel Partners",Angel / Seed Funding,,
,,Online Lending,,,,,,,,,,,,,,,,,,393.0,04/01/2018,EarlySalary,Finance,Pune,Eight Roads Ventures India,Private,"1,57,00,000",
,,Food and Beverages,,,,,,,,,,,,,,,,,,394.0,05/01/2018,WOTU,E-commerce,Bengaluru,"Claris Capital, Mumbai Angels Network",Angel / Seed Funding,,
,,Sports Nutrition Supplement etailer,,,,,,,,,,,,,,,,,,395.0,08/01/2018,DAAKI,E-commerce,Bengaluru,Rohan Agila,Angel / Seed Funding,,
,,Online Lending,,,,,,,,,,,,,,,,,,396.0,09/01/2018,Lendingkart,Finance,Ahmedabad,Nederlandse Financierings-Maatschappij voor Ontwikkelingslanden N.V.,Debt Funding,"47,00,000",
,,Digital Entertainment for Children,,,,,,,,,,,,,,,,,,397.0,09/01/2018,Kinsane Entertainment Inc,Entertainment,Mumbai,,Seed/Angel Funding,"25,00,000",
,,Personal Assistant,,,,,,,,,,,,,,,,,,398.0,10/01/2018,Tapzo,Technology,Bengaluru,RuNet & Other,Private Equity,"19,30,000",
,,Retail,,,,,,,,,,,,,,,,,,399.0,10/01/2018,Appario Retail Pvt Ltd.,E-commerce,Delhi,Amazon-Patni JV,Private Equity,"1,88,40,000",
,,Agricultural Loan,,,,,,,,,,,,,,,,,,400.0,10/01/2018,Samunnati,Finance,Chennai,"responsAbility, Elevar Equity and Accel Partners",Private Equity,"2,35,00,000",
,,Medical Devices,,,,,,,,,,,,,,,,,,401.0,10/01/2018,Sahajanand Medical Technologies,Technology,Surat,Morgan Stanley Private Equity Asia,Private Equity,"3,62,30,000",
,,Algorithmic Trading,,,,,,,,,,,,,,,,,,402.0,12/01/2018,Kuants,Technology,Gurgaon,"Pankaj Chopra, Ankush Gupta",Angel / Seed Funding,"80,000",
,,Payment Gateway,,,,,,,,,,,,,,,,,,403.0,12/01/2018,Razorpay,Technology,Bengaluru,"Tiger Global, Y Combinator",Private Equity,"2,00,00,000",
,,Algorithmic Trading,,,,,,,,,,,,,,,,,,404.0,15/01/2018,Streak,Technology,Bengaluru,"Indian fintech fund, Rainmatter",Angel / Seed Funding,"3,54,600",
,,Venture Capital,,,,,,,,,,,,,,,,,,405.0,15/01/2018,pi Ventures,Finance,Bengaluru,"Sunil Kant Munjal, Hero Electronix\\xe2\\x80\\x99s corporate financing arm, Electronic Development Fund",Private Equity,"2,50,00,000",
,,IT,,,,,,,,,,,,,,,,,,406.0,15/01/2018,Newgen Software,Technology,New Delhi,"Goldman Sachs, hedge fund & Others",Private Equity,"2,00,00,000",
,,Education,,,,,,,,,,,,,,,,,,407.0,17/01/2018,Rubix,Technology,Pune,Polaris Fund,Private Equity,"10,00,000",
,,Social,,,,,,,,,,,,,,,,,,408.0,18/01/2018,ShareChat,Technology,Bengaluru,"Xiaomi Singapore, Shunwei Capital",Private Equity,"1,82,00,000",
,,IT,,,,,,,,,,,,,,,,,,409.0,22/01/2018,Paperflite,Technology,Chennai,The Chennai Angels,Angel / Seed Funding,"4,00,000",
,,Food and Beverages,,,,,,,,,,,,,,,,,,410.0,22/01/2018,HungerBox,Consumer Internet,Bangalore,Lionrock Capital,Private Equity,"25,00,000",
,,Artificial Intellegence,,,,,,,,,,,,,,,,,,411.0,22/01/2018,Skillate,Technology,Bengaluru,"Incubate Fund India, Anuj Agrawal",Private Equity,,
,,Alternative Lending,,,,,,,,,,,,,,,,,,412.0,22/01/2018,OptaCredit,Finance,Chennai,DMI Finance,Private Equity,"40,00,000",
,,Education,,,,,,,,,,,,,,,,,,413.0,22/01/2018,AEON Learning,Technology,Bengaluru,Dr. Ranjan Pai,Private Equity,"32,00,000",
,,Online Grocery,,,,,,,,,,,,,,,,,,414.0,23/01/2018,Milkbasket,E-commerce,Gurugram,Unilever Ventures,Private Equity,"30,00,000",
,,Digital Lending,,,,,,,,,,,,,,,,,,415.0,24/01/2018,NeoGrowth Credit,Finance,Mumbai,"LeapFrog Investments, Aspada Investment, Quona Capital",Private Equity,"4,70,00,000",
,,Coaching Services,,,,,,,,,,,,,,,,,,416.0,24/01/2018,Rao IIT Academy,Education,Mumbai,Avendus Finance,Structured Debt,"86,00,000",
,,Online Lending,,,,,,,,,,,,,,,,,,417.0,24/01/2018,Aye Finance,Finance,Gurugram,IFMR Capital,Term Loan,"62,40,000",
,,Eyewear,,,,,,,,,,,,,,,,,,418.0,25/01/2018,Glassic,Ecommerce,Bengaluru,"Chennai Angels, Lead Angels, LetsVenture",Angel / Seed Funding,,
,,Education,,,,,,,,,,,,,,,,,,419.0,25/01/2018,GreyAtom,Technology,Mumbai,Pravega Ventures,Private Equity,"10,00,000",
,,Hemostatic Dressing Solutions,,,,,,,,,,,,,,,,,,420.0,26/01/2018,Axio,Healthcare,Bengaluru,RNT Capital,Private Equity,"74,00,000",
,,Technology,,,,,,,,,,,,,,,,,,421.0,29/01/2018,eKincare,Healthcare,Hyderabad,"Ventureast, Endiya Partners, Eight Roads Ventures, Touchstone Equities, BVR Mohan Reddy",Private Equity,"15,00,000",
,,Online Services,,,,,,,,,,,,,,,,,,422.0,29/01/2018,The Wedding Brigade,Consumer internet,Mumbai,Blume Ventures,Private Equity,"10,00,000",
,,Hygiene,,,,,,,,,,,,,,,,,,423.0,30/01/2018,PeeSafe,Healthcare,Gurugram,"Shivani Singh, Rahul Maroli, Mitesh Shah, Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures.",Private Equity,"10,00,000",
,,Browser Testing,,,,,,,,,,,,,,,,,,424.0,30/01/2018,BrowserStack,Technology,Mumbai,Accel Partners,Private Equity,"5,00,00,000",
,,Virtual Reality,,,,,,,,,,,,,,,,,,425.0,30/01/2018,Scapic,Technology,Bengaluru,"Axilor Ventures, Newfort Capital",Angel / Seed Funding,"5,00,000",
,,Mobile Payment Platform,,,,,,,,,,,,,,,,,,426.0,30/01/2018,MoneyOnMobile,Technology,Mumbai,Undisclosed Investors,Private Equity,"76,00,000",
,,Fitness,,,,,,,,,,,,,,,,,,427.0,30/01/2018,CureFit,Healthcare,Bengaluru,"HDFC Bank, Axis Bank",Debt Funding,"1,00,00,000",
,,Education Solutions,,,,,,,,,,,,,,,,,,428.0,31/01/2018,iNurture,Technology,Bengaluru,Ventureast,Private Equity,"44,00,000",
,,IoT based air pollution controller,,,,,,,,,,,,,,,,,,429.0,01/12/2017,Strata Enviro,Technology,Mumbai,Scale Minds,Private Equity,,
,,Daily Task Management Mobile App,,,,,,,,,,,,,,,,,,430.0,05/12/2017,Dunzo,Technology,Bangalore,Google,Private Equity,"1,23,00,000",
,,Residential Project,,,,,,,,,,,,,,,,,,431.0,05/12/2017,Tata Housing,Real Estate,Mumbai,Hines,Private Equity,"2,30,00,000",
,,Mobile Learning Management Platform,,,,,,,,,,,,,,,,,,432.0,05/12/2017,HandyTrain,Technology,Goa,NB Ventures,Private Equity,"10,00,000",
,,Bicycle sharing Platform,,,,,,,,,,,,,,,,,,433.0,05/12/2017,Mobycy,Technology,Gurgaon,Undisclosed Investors,Seed/Angel Funding,"5,00,000",
,,Off-grid solar products platform,,,,,,,,,,,,,,,,,,434.0,06/12/2017,Greenlight Planet,Technology,Mumbai,"Apis Partner, Eight Roads Ventures, Bamboo Capital Partners",Private Equity,"6,00,00,000",
,,Child Learning & Development Platform,,,,,,,,,,,,,,,,,,435.0,06/12/2017,Fintobox,Technology,Chennai,Lightbox,Private Equity,"70,00,000",
,,Mobile point of sale services provider,,,,,,,,,,,,,,,,,,436.0,07/12/2017,Mswipe,Technology,Mumbai,Eduardo Saverin,Private Equity,"1,00,00,000",
,,Home Decor and Online Fashion Portal,,,,,,,,,,,,,,,,,,437.0,07/12/2017,The Label Life,E-Commerce,Mumbai,Kalpvriksh,Private Equity,"31,00,000",
,,Super speciality Hospitals,,,,,,,,,,,,,,,,,,438.0,07/12/2017,Cygnus Hospitals,Healthcare,Gurgaon,Somerset Indus Capital Ventures,Seed/Angel Funding,"7,50,000",
,,"""Women\\'s Fashion Clothing Online Platform""",,,,,,,,,,,,,,,,,,439.0,07/12/2017,eShakti,Ecommerce,Chennai,IDG Ventures,Debt Funding,"23,00,000",
,,Mobile News Curation App,,,,,,,,,,,,,,,,,,440.0,08/12/2017,Inshorts,Technology,Noida,Tiger Global,Private Equity,"50,00,000",
,,Online Platform Selling Indian Tea Globally,,,,,,,,,,,,,,,,,,441.0,11/12/2017,Vahdam Tea,E-Commerce,Delhi,"Singapore Angel Network, Mumbai Angel",Private Equity,"15,00,000",
,,Educational Platform to Learn Mathematics,,,,,,,,,,,,,,,,,,442.0,11/12/2017,Logic Roots,Technology,Mumbai,Village Capital,Seed/Angel Funding,"50,000",
,,Assisting Visually Impaired to learn through Braille,,,,,,,,,,,,,,,,,,443.0,11/12/2017,Project Mudra,Technology,Bengaluru,Village Capital,Seed/Angel Funding,"50,000",
,,Furniture Rental Platform,,,,,,,,,,,,,,,,,,444.0,11/12/2017,Furlenco,Technology,Bengaluru,Aamir Khan,Debt Funding,"12,00,000",
,,Hotel Aggregator Platform,,,,,,,,,,,,,,,,,,445.0,12/12/2017,I Can Stay,Technology,Delhi,HT Media,Private Equity,"18,00,000",
,,Platform based on 3D printing and Digital Manufacturing,,,,,,,,,,,,,,,,,,446.0,12/12/2017,Fracktal Works,Technology,Bengaluru,Hyderabad Angels,Seed/Angel Funding,,
,,Adaptive Fraud Intelligence Platform,,,,,,,,,,,,,,,,,,447.0,12/12/2017,Simility,Technology,Hyderabad,Accel Partners,Private Equity,"1,75,00,000",
,,Fashion and Lifestyle Coupon Platform,,,,,,,,,,,,,,,,,,448.0,12/12/2017,Shopholix,E-Commerce,Gurgaon,Munesh Khanna,Seed/Angel Funding,"2,33,000",
,,Gamification Platform to train Sales People,,,,,,,,,,,,,,,,,,449.0,13/12/2017,MindTickle,Technology,Pune,Canaan Partners,Private Equity,"2,70,00,000",
,,Mobile Games Development Firm,,,,,,,,,,,,,,,,,,450.0,13/12/2017,Nazara Technologies,Technology,Mumbai,Rakesh Jhunjhunwala,Private Equity,"2,70,00,000",
,,Mobile Application for Doctor Consultation,,,,,,,,,,,,,,,,,,451.0,13/12/2017,DocsApp,Technology,Bengaluru,Bessemer Venture Partners,Private Equity,"72,00,000",
,,Artificial Intelligence Platform to Raise Funds,,,,,,,,,,,,,,,,,,452.0,13/12/2017,Capita World,Technology,Mumbai,"Mohan Tanksale, Kiran Shetty, Darshak Shah, Mandar Mhatre",Private Equity,,
,,Fresh Indian Tea Selling Platform across 112 countries,,,,,,,,,,,,,,,,,,453.0,14/12/2017,Tea Box,E-Commerce,Bengaluru,RB Investments,Private Equity,"70,00,000",
,,Hyperlocal Video Information Sharing Platform,,,,,,,,,,,,,,,,,,454.0,14/12/2017,Transversal Technologies,Technology,Bengaluru,Matrix Partners,Private Equity,"60,00,000",
,,Mobile App for Network of Doctors,,,,,,,,,,,,,,,,,,455.0,14/12/2017,Curofy,Technology,Gurgaon,RoundGlass Partners LLC,Seed/Angel Funding,"2,50,000",
,,Online Furniture Marketplace,,,,,,,,,,,,,,,,,,456.0,14/12/2017,HomeLane,E-Commerce,Bengaluru,"Accel Partners, Sequoia Capital, RB Investments",Private Equity,"1,00,00,000",
,,Provides Business Insights using Drone Imaginary,,,,,,,,,,,,,,,,,,457.0,14/12/2017,WeDoSky,Technology,Delhi,Mumbai Angels Network,Private Equity,,
,,Beauty Products Online Marketplace,,,,,,,,,,,,,,,,,,458.0,15/12/2017,Purplle,E-Commerce,Mumbai,"Mountain Pain Capital, Suncoast Investments",Seed/Angel Funding,"5,37,000",
,,Online Micro-Lending Platform,,,,,,,,,,,,,,,,,,459.0,15/12/2017,Cash Suvidha,E-Commerce,Delhi,,Debt Funding,"27,00,000",
,,Weather Forecast Platform,,,,,,,,,,,,,,,,,,460.0,18/12/2017,Sky Met Weather,Technology,Noida,InsuResillience Investment Fund,Private Equity,,
,,Online Courses and Mentoring from Experts,,,,,,,,,,,,,,,,,,461.0,19/12/2017,Springboard,Technology,Bengaluru,"Costanoa, Learn Capital, Jyoti Bansal",Private Equity,"95,00,000",
,,SaaS based Big Data Analytics Platform,,,,,,,,,,,,,,,,,,462.0,19/12/2017,Peel Works,Technology,Mumbai,Unilever Ventures,Private Equity,,
,,Online Poker Platform,,,,,,,,,,,,,,,,,,463.0,19/12/2017,9Stacks,Technology,Delhi,"Swati Gupta, Purnima Khandelwal, Maheshwar Peri, Sanjay Singh",Private Equity,"15,00,000",
,,Vernacular and Video Content Platform,,,,,,,,,,,,,,,,,,464.0,20/12/2017,Your Quote,Technology,Bengaluru,"Axilor Ventures, E-City VEntures Atul Goel",Private Equity,"10,00,000",
,,Micro finance institution providing small ticket unsecured loans to women,,,,,,,,,,,,,,,,,,465.0,20/12/2017,Spandana Sphoorty,Finance,Hyderabad,"""Kedaraa Capital, Ontario Teachers\\'""",Private Equity,"1,95,00,000",
,,Regional Operating System for Smartphones,,,,,,,,,,,,,,,,,,466.0,21/12/2017,Indus OS,Technology,Mumbai,Omidyar Network,Private Equity,"40,00,000",
,,Ecommerce enabler platform,,,,,,,,,,,,,,,,,,467.0,21/12/2017,EasyEcom,E-Commerce,Bengaluru,"Ambarish Gupta, Aneesh Reddy, Bold Ventures, Vona Investments",Seed/Angel Funding,"1,50,000",
,,Online Gifting Platform,,,,,,,,,,,,,,,,,,468.0,21/12/2017,IGP.com,E-Commerce,Uttar Pradesh,Venture Catalysts,Private Equity,,
,,Online Spects Platform for Men and Women,,,,,,,,,,,,,,,,,,469.0,26/12/2017,Specsmakers,E-Commerce,Chennai,Eight Roads Ventures India,Private Equity,"1,00,00,000",
,,Online vehicle service booking platform,,,,,,,,,,,,,,,,,,470.0,27/12/2017,Garage On Road,E-Commerce,Noida,Gaurav Gupta,Private Equity,,
,,Realty Tech Startup solving real life Interior Designing problems,,,,,,,,,,,,,,,,,,471.0,27/12/2017,Foyr.com,Technology,Hyderabad,Jones Lang LaSalle,Private Equity,"38,00,000",
,,Business & SME Loans provider,,,,,,,,,,,,,,,,,,472.0,02/11/2017,Prest Loans,Finance,New Delhi,"Manish Poddar, Arun Garg, Parmeshwar Sharma",Seed Funding,"5,70,000",
,,Aadhaar-based API provider,,,,,,,,,,,,,,,,,,473.0,02/11/2017,AadharAPI.com,Technology,Pune,CIO Angel Network,Seed Funding,,
,,Online Grocery Store,,,,,,,,,,,,,,,,,,474.0,02/11/2017,FreshBoxx,ECommerce,Bangalore,Jayant Humbarwadi,Seed Funding,,
,,Online Tutorial Marketplace,,,,,,,,,,,,,,,,,,475.0,03/11/2017,Vagupu,Technology,Bangalore,Undisclosed Investors,Seed Funding,"10,00,000",
,,Online Fantasy Games,,,,,,,,,,,,,,,,,,476.0,03/11/2017,HalaPlay,Consumer Internet,Mumbai,"Kae Capital Management, Nazara Technologies",Seed Funding,,
,,VR based Spiritual platform,,,,,,,,,,,,,,,,,,477.0,03/11/2017,Kalpnik Technologies,Technology,Bangalore,Venture Catalysts,Seed Funding,"5,00,000",
,,Real time data analytics & reporting,,,,,,,,,,,,,,,,,,478.0,04/11/2017,Hevo Data,Technology,Bangalore,IDG Ventures India,Private Equity,"10,00,000",
,,Financial Technology Research Platform,,,,,,,,,,,,,,,,,,479.0,06/11/2017,Smart Karma,Technology,Bangalore,IDG Ventures India,Private Equity,,
,,Online platform for Higher Education Services,,,,,,,,,,,,,,,,,,480.0,06/11/2017,Leverage Edu,ECommerce,New Delhi,"Alok Mittal, Deepak Jain, Ritesh Malik, Jim Schimdktke",Seed Funding,,
,,Customer Engagement Platform,,,,,,,,,,,,,,,,,,481.0,07/11/2017,Crayon Data,Technology,New Delhi,Infosys co-founder Kris Gopalakrishnan,Seed Funding,,
,,Doctor Patient Communication platform,,,,,,,,,,,,,,,,,,482.0,07/11/2017,DocTalk,Technology,Mumbai,"Matrix Partners India, Khosla Ventures",Private Equity,"50,00,000",
,,Wearable tech and Internet of Things platform,,,,,,,,,,,,,,,,,,483.0,07/11/2017,CoveIoT,Technology,Bangalore,"Titan Co Ltd, Tata Group\\xe2\\x80\\x99s watch and jewellery retailing firm",Private Equity,"50,00,000",
,,Distance Education Learning Platform,,,,,,,,,,,,,,,,,,484.0,08/11/2017,TalentEdge,Technology,Bangalore,Lumis Partners,Private Equity,"76,00,000",
,,Mutual Fund Investment App,,,,,,,,,,,,,,,,,,485.0,08/11/2017,Fisdom,Finance,Bangalore,Quona Capital Management,Private Equity,"30,00,000",
,,Online platform for Agricultural products,,,,,,,,,,,,,,,,,,486.0,08/11/2017,FarmLink,eCommerce,Mumbai,"Pioneering Ventures, Syngenta AG",Private Equity,"30,00,000",
,,IoT based Tech Startup,,,,,,,,,,,,,,,,,,487.0,08/11/2017,OpenApp,Technology,Bangalore,"Axilor Ventures, Kumar Vembu",Private Equity,"36,00,000",
,,Enrolment Management Platform,,,,,,,,,,,,,,,,,,488.0,09/11/2017,NoPaperForms,Technology,Delhi,Info Edge,Seed Funding,"8,72,000",
,,Saas based Corporate Travel Management Solution,,,,,,,,,,,,,,,,,,489.0,09/11/2017,Tilite Technologies Pvt. Ltd,Technology,Bangalore,Matrix Partners,Seed Funding,,
,,Augmented Reality based Tech platform,,,,,,,,,,,,,,,,,,490.0,09/11/2017,Mobiliz AR,Technology,Bangalore,"IDG Ventures, IDFC-Parampara Fund",Private Equity,,
,,Big Data based analytics platform,,,,,,,,,,,,,,,,,,491.0,10/11/2017,Qubole,Technology,Bangalore,"Singtel, Innov8, Harmony Partners",Private Equity,"2,50,00,000",
,,Online Gifting platform,,,,,,,,,,,,,,,,,,492.0,10/11/2017,Happily Unmarried,ECommerce,Nw Delhi,Wipro Consumer Care,Private Equity,,
,,Celebrity fashion accessories and merchandise,,,,,,,,,,,,,,,,,,493.0,13/11/2017,Universal Sportsbiz Pvt. Ltd,ECommerce,Mumbai,Accel Partners,PrivateEquity,"1,50,00,000",
,,Healthy & Nutrition based snacks online platform,,,,,,,,,,,,,,,,,,494.0,14/11/2017,Hungry Foal,Ecommerce,Gurgaon,GAIL India Ltd,Seed Funding,,
,,AI based FinTech platform,,,,,,,,,,,,,,,,,,495.0,14/11/2017,Active AI,Technology,Bangalore,Vertex Ventures,Private Equity,"82,50,000",
,,Banking Software License Platform,,,,,,,,,,,,,,,,,,496.0,15/11/2017,Sumeru,Technology,Bangalore,Undisclosed Investors,Seed Funding,"9,00,000",
,,Social Healthcare Enterprise,,,,,,,,,,,,,,,,,,497.0,15/11/2017,ElderAid Wellness,Health Care,Bangalore,Rugmini Menon,Angel Funding,,
,,WiFi Analytics Platform,,,,,,,,,,,,,,,,,,498.0,15/11/2017,Omnia Information,Technology,Delhi,Omidyar Network,Private Equity,"30,00,000",
,,Storytelling platform,,,,,,,,,,,,,,,,,,499.0,15/11/2017,Josh Talks,Inspiration,Gurgaon,"Girish Mathrubootham, Apurva Chamaria, Rohit Chanana",Private Equity,,
,,End-to-End property management for landlords living away,,,,,,,,,,,,,,,,,,500.0,15/11/2017,Reniso,Technology,New Delhi,"Nishit Sharma, Alok Srivastava",Seed Funding,,
,,Storytelling platform,,,,,,,,,,,,,,,,,,501.0,17/11/2017,Kanhaiya,Inspiration,Hyderabad,Undisclosed Investors,Seed/Angel Funding,"2,00,000",
,,Placement preparation and career growth training platform,,,,,,,,,,,,,,,,,,502.0,17/11/2017,Perspectico,Technology,Delhi,"SSCBS Innovation, Incubation Foundation (SIIF)",Seed/Angel Funding,,
,,Self riding bike rental program,,,,,,,,,,,,,,,,,,503.0,20/11/2017,ONN Bikes,Technology,Mumbai,Z Nation Lab,Seed/Angel Funding,"6,92,000",
,,Bike and Taxi pooling online platform,,,,,,,,,,,,,,,,,,504.0,21/11/2017,Rapido,Technology,Hyderabad,"Skycatcher Fund, Aravind Sanka",Seed/Angel Funding,"3,29,230",
,,Big Data Analytics Platform,,,,,,,,,,,,,,,,,,505.0,21/11/2017,Heckyl,Technology,Mumbai,"Notion Capital, IDG Ventures",Private Equity,"27,00,000",
,,Managed Cloud Environment Solutions,,,,,,,,,,,,,,,,,,506.0,21/11/2017,Nuvepro,Technology,Mumbai,1Crowd,Seed/Angel Funding,"4,00,000",
,,AI based pharmacy drugs insights platform,,,,,,,,,,,,,,,,,,507.0,21/11/2017,RedBook,Technology,Mumbai,"Vida Ventures, Dr. Aniruddha Malpani",Seed/Angel Funding,"2,50,000",
,,Healthcare facilities at doorstep,,,,,,,,,,,,,,,,,,508.0,21/11/2017,Portea,Healthcare,Bangalore,"Sabre Partners, MEMG CDC",Private Equity,"2,60,00,000",
,,Vehicle loan approval platform,,,,,,,,,,,,,,,,,,509.0,21/11/2017,Credit Mate,Technology,Mumbai,Paytm,Private Equity,,
,,Tech based investor firm,,,,,,,,,,,,,,,,,,510.0,21/11/2017,Epiq Capital,Finance,Mumbai,Global Institutional Investors,Private Equity,"20,00,00,000",
,,Online Hotel Reservation Platform,,,,,,,,,,,,,,,,,,511.0,22/11/2017,MiStay,Technology,Bangalore,Axilor Ventures,Seed/Angel Funding,,
,,Viral Content and storytelling platform,,,,,,,,,,,,,,,,,,512.0,23/11/2017,WittyFeed,Storytelling,Indore,Sandeep Aggarwal,Seed/Angel Funding,,
,,Venture Capitalist,,,,,,,,,,,,,,,,,,513.0,24/11/2017,IDG Ventures,Finance,Bangalore,Uniliver Ventures,Private Equity,"1,00,00,000",
,,IoT and SaaS based transportation platform,,,,,,,,,,,,,,,,,,514.0,24/11/2017,TempGo,Technology,Goa,Javelin StartupO Victory Fund,Seed/Angel Funding,"2,50,000",
,,Diversified Financial,,,,,,,,,,,,,,,,,,515.0,27/11/2017,Edelweiss,Finance,Mumbai,Undisclosed investors,Private Equity,"27,00,00,000",
,,Identity management platform,,,,,,,,,,,,,,,,,,516.0,27/11/2017,ERA,Technology,Mumbai,Amit Patni,Seed/Angel Funding,"39,000",
,,Virtual Reality based gaming platform,,,,,,,,,,,,,,,,,,517.0,27/11/2017,Smaaash,Technology,Mumbai,Sixth Sense Ventures,Private Equity,"38,00,000",
,,Designer-led consumer products,,,,,,,,,,,,,,,,,,518.0,28/11/2017,Chumbak,Lifestyle,Bangalore,Gaja Capital,Private Equity,"1,30,00,000",
,,Online Truck aggregator platform,,,,,,,,,,,,,,,,,,519.0,28/11/2017,FR8,Technology,Chennai,IFMR Capital,Debt Funding,"15,00,000",
,,Health and fitness based mobile App,,,,,,,,,,,,,,,,,,520.0,28/11/2017,MobieFit,Healthcare,Goa,"NB Ventures, MediAssist",Seed/Angel Funding,"13,50,000",
,,Student accommodation platform,,,,,,,,,,,,,,,,,,521.0,28/11/2017,Stanza Living,Technology,Delhi,"Matrix PArtners, Accel",Private Equity,"20,00,000",
,,Home Loans Aggregation platform,,,,,,,,,,,,,,,,,,522.0,03/10/2017,ChqBook,Consumer Internet,Gurgaon,"Startup Buddy, Apurva Chamaria,Sachin Arora, Bharat Gupta, Amit Manocha",Seed Funding,,
,,Home Loan Down payment assistance program,,,,,,,,,,,,,,,,,,523.0,03/10/2017,HomeCapital,Consumer Internet,Mumbai,Venture Catalysts,Seed Funding,,
,,App based cab hailing services,,,,,,,,,,,,,,,,,,524.0,03/10/2017,Ola Cabs,Consumer Internet,Bangalore,"Tencent, Softbank Group",Private Equity,"11,00,00,000",
,,P2P platform for Fashion sales,,,,,,,,,,,,,,,,,,525.0,04/10/2017,Elanic,Consumer Internet,Bangalore,Digital Garage,Seed Funding,,
,,Education collaboration platform,,,,,,,,,,,,,,,,,,526.0,04/10/2017,CollPoll,Consumer Internet,Bangalore,Sprout Angels,Seed Funding,"3,06,000",
,,Digital Wallet,,,,,,,,,,,,,,,,,,527.0,04/10/2017,PhonePe,Consumer Internet,Bangalore,Flipkart,Private Equity,"3,87,00,000",
,,Local Recommendations and Discoveries Platform,,,,,,,,,,,,,,,,,,528.0,05/10/2017,Little Black Book,Consumer Internet,New Delhi,"Blume Ventures, IDG Ventures & Indian Angel Network",Private Equity,"10,00,000",
,,rooftop solar platform,,,,,,,,,,,,,,,,,,529.0,05/10/2017,Oorjan,Technology,Mumbai,Globevestor,Seed Funding,"4,50,000",
,,Ecommerce Portal for Used Goods,,,,,,,,,,,,,,,,,,530.0,05/10/2017,Zefo,ECommerce,Bangalore,"Sequoia India, Helion Venture Partners, Beenext",Private Equity,"92,00,000",
,,Mobile repair and Refurbishment platform,,,,,,,,,,,,,,,,,,531.0,06/10/2017,Yaantra,ECommerce,New Delhi,Carpediem Capital,Private Equity,"31,00,000",
,,Fresh Produce SCM company,,,,,,,,,,,,,,,,,,532.0,06/10/2017,Farm Taaza,Technology,Bangalore,"Epsilon Venture Partners, Tara India Fund IV and others",Private Equity,"80,00,000",
